persona,progress,dimension,mean_centered_delta,sem_centered_delta
Risk-Averse,0.75,probability_minimum_gain,0.0340817132971435,0.016511638990482216
Risk-Averse,0.75,probability_minimum_loss,0.010784046236454679,0.010434949860707577
Risk-Averse,0.75,probability_two_largest_gains,-0.0198899865028984,0.009995160703669643
Risk-Averse,0.75,sum_two_largest_gains,-0.018002511508861112,0.009327107862279032
Risk-Averse,1.0,entropy,-0.018755766059320195,0.013691148140949204
Risk-Averse,1.0,expected_value,0.013616558437945908,0.011419674011748517
Risk-Averse,1.0,maximum_gain,-0.03241143586535088,0.013215873273095952
Risk-Averse,1.0,maximum_loss,0.018844172525804097,0.012528812044915794
Risk-Averse,1.0,minimum_gain,-0.04631790642417398,0.012504262607018066
Risk-Averse,1.0,minimum_loss,0.06915846308758772,0.012773582975365575
Risk-Averse,1.0,probability_maximum_gain,-0.029156592447536548,0.009870319888306103
Risk-Averse,1.0,probability_maximum_loss,-0.03425766510515935,0.01229008274098754
Risk-Averse,1.0,probability_minimum_gain,-0.02782165212075862,0.013526691149573456
Risk-Averse,1.0,probability_minimum_loss,0.029583102817723677,0.010573309396690395
Risk-Averse,1.0,probability_two_largest_gains,-0.025967454764757307,0.007005000450085063
Risk-Averse,1.0,sum_two_largest_gains,-0.017055079331461984,0.006830022799241959
Risk-Seeking,0.0,entropy,0.0,0.0
Risk-Seeking,0.0,expected_value,0.0,0.0
Risk-Seeking,0.0,maximum_gain,0.0,0.0
Risk-Seeking,0.0,maximum_loss,0.0,0.0
Risk-Seeking,0.0,minimum_gain,0.0,0.0
Risk-Seeking,0.0,minimum_loss,0.0,0.0
Risk-Seeking,0.0,probability_maximum_gain,0.0,0.0
Risk-Seeking,0.0,probability_maximum_loss,0.0,0.0
Risk-Seeking,0.0,probability_minimum_gain,0.0,0.0
Risk-Seeking,0.0,probability_minimum_loss,0.0,0.0
Risk-Seeking,0.0,probability_two_largest_gains,0.0,0.0
Risk-Seeking,0.0,sum_two_largest_gains,0.0,0.0
Risk-Seeking,0.25,entropy,-0.09427053141702114,0.011217912080702493
Risk-Seeking,0.25,expected_value,0.04079660731093645,0.014203836500336376
Risk-Seeking,0.25,maximum_gain,0.10701720839421533,0.013774285886971905
Risk-Seeking,0.25,maximum_loss,0.006606399328313291,0.011457963656718936
Risk-Seeking,0.25,minimum_gain,0.09849874918377721,0.014473944359141342
Risk-Seeking,0.25,minimum_loss,-0.05315271302112135,0.012718034613333385
Risk-Seeking,0.25,probability_maximum_gain,0.06085963978815389,0.010486029081221393
Risk-Seeking,0.25,probability_maximum_loss,-0.08485871080333146,0.012121100362651353
Risk-Seeking,0.25,probability_minimum_gain,0.09172309295536075,0.013819041316417674
Risk-Seeking,0.25,probability_minimum_loss,-0.0755432565184181,0.011708966931396598
Risk-Seeking,0.25,probability_two_largest_gains,0.07404379153704908,0.009209436254172733
Risk-Seeking,0.25,sum_two_largest_gains,0.06843498531033282,0.00938798574556237
Risk-Seeking,0.5,entropy,-0.024659760386389187,0.010989538909224153
Risk-Seeking,0.5,expected_value,-0.02270249021316521,0.015452388204705073
Risk-Seeking,0.5,maximum_gain,0.019809903463135964,0.013306872760351326
Risk-Seeking,0.5,maximum_loss,-0.0028702427172251498,0.0133874830180494
Risk-Seeking,0.5,minimum_gain,-0.005323417735653506,0.01384776812871395
Risk-Seeking,0.5,minimum_loss,0.0017315570285655719,0.013474939843579977
Risk-Seeking,0.5,probability_maximum_gain,-0.03946051771007968,0.01179050117712404
Risk-Seeking,0.5,probability_maximum_loss,0.02204226251311513,0.015135186014400876
Risk-Seeking,0.5,probability_minimum_gain,-0.0392779708302924,0.01497587390761543
Risk-Seeking,0.5,probability_minimum_loss,0.017000688536915203,0.013999741386952117
Risk-Seeking,0.5,probability_two_largest_gains,-0.020353341741346856,0.010381208472194646
Risk-Seeking,0.5,sum_two_largest_gains,0.005200292900297509,0.010321080878255008
Risk-Seeking,0.75,entropy,0.06353137835467326,0.011284333647845582
Risk-Seeking,0.75,expected_value,-0.03258306295732128,0.013714352675704465
Risk-Seeking,0.75,maximum_gain,0.07953051561958516,0.012166847591923161
Risk-Seeking,0.75,maximum_loss,-0.046294474114532524,0.012168047212890776
Risk-Seeking,0.75,minimum_gain,0.056214778484354896,0.013024860218502986
Risk-Seeking,0.75,minimum_loss,-0.044504759886115866,0.013037771554897203
Risk-Seeking,0.75,probability_maximum_gain,-0.04352586576586623,0.01005753268719226
Risk-Seeking,0.75,probability_maximum_loss,0.06134473163430116,0.012372150296797795
Risk-Seeking,0.75,probability_minimum_gain,-0.03348617030830738,0.01368895563817612
Risk-Seeking,0.75,probability_minimum_loss,0.07419546384509502,0.011791714853944518
Risk-Seeking,0.75,probability_two_largest_gains,-0.03516453835860015,0.009671948444609906
Risk-Seeking,0.75,sum_two_largest_gains,0.016643449697156434,0.00949677139356766
Risk-Seeking,1.0,entropy,0.10548116091769735,0.013235495648644511
Risk-Seeking,1.0,expected_value,0.0313218419005424,0.01295394568064041
Risk-Seeking,1.0,maximum_gain,0.1466887488107895,0.013139518277542863
Risk-Seeking,1.0,maximum_loss,0.012908976791769009,0.011962533634338636
Risk-Seeking,1.0,minimum_gain,0.13012641630940497,0.013168479461726832
Risk-Seeking,1.0,minimum_loss,0.017110736793552635,0.012348037922776963
Risk-Seeking,1.0,probability_maximum_gain,0.009877720652638892,0.009826967883419128
Risk-Seeking,1.0,probability_maximum_loss,-0.022379644948282165,0.010465489703903106
Risk-Seeking,1.0,probability_minimum_gain,0.038539743076543134,0.012725757583901114
Risk-Seeking,1.0,probability_minimum_loss,-0.030909341619539475,0.009355704462208072
Risk-Seeking,1.0,probability_two_largest_gains,0.025479710176997076,0.007696965920945285
Risk-Seeking,1.0,sum_two_largest_gains,0.05781597812011696,0.007795282240190033
